35;3268;São Paulo;SP;3500105	ADAMANTINA
35;3269;São Paulo;SP;3500204	ADOLFO
35;3270;São Paulo;SP;3500303	AGUAÍ
35;3271;São Paulo;SP;3500402	ÁGUAS DA PRATA
35;3272;São Paulo;SP;3500501	ÁGUAS DE LINDÓIA
35;3273;São Paulo;SP;3500550	ÁGUAS DE SANTA BÁRBARA
35;3274;São Paulo;SP;3500600	ÁGUAS DE SÃO PEDRO
35;3275;São Paulo;SP;3500709	AGUDOS
35;3276;São Paulo;SP;3500758	ALAMBARI
35;3277;São Paulo;SP;3500808	ALFREDO MARCONDES
35;3278;São Paulo;SP;3500907	ALTAIR
35;3279;São Paulo;SP;3501004	ALTINÓPOLIS
35;3284;São Paulo;SP;3501400	ÁLVARO DE CARVALHO
35;3285;São Paulo;SP;3501509	ALVINLÂNDIA
35;3286;São Paulo;SP;3501608	AMERICANA
35;3287;São Paulo;SP;3501707	AMÉRICO BRASILIENSE
35;3288;São Paulo;SP;3501806	AMÉRICO DE CAMPOS
35;3289;São Paulo;SP;3501905	AMPARO
35;3290;São Paulo;SP;3502002	ANALÂNDIA
35;3291;São Paulo;SP;3502101	ANDRADINA
35;3292;São Paulo;SP;3502200	ANGATUBA
35;3293;São Paulo;SP;3502309	ANHEMBI
35;3294;São Paulo;SP;3502408	ANHUMAS
35;3295;São Paulo;SP;3502507	APARECIDA
35;3296;São Paulo;SP;3502606	APARECIDA D'OESTE
35;3297;São Paulo;SP;3502705	APIAÍ
35;3298;São Paulo;SP;3502754	ARAÇARIGUAMA
35;3299;São Paulo;SP;3502804	ARAÇATUBA
35;3300;São Paulo;SP;3502903	ARAÇOIABA DA SERRA
35;3301;São Paulo;SP;3503000	ARAMINA
35;3302;São Paulo;SP;3503109	ARANDU
35;3303;São Paulo;SP;3503158	ARAPEÍ
35;3304;São Paulo;SP;3503208	ARARAQUARA
35;3305;São Paulo;SP;3503307	ARARAS
35;3306;São Paulo;SP;3503356	ARCO-ÍRIS
35;3307;São Paulo;SP;3503406	AREALVA
35;3308;São Paulo;SP;3503505	AREIAS
35;3309;São Paulo;SP;3503604	AREIÓPOLIS
35;3310;São Paulo;SP;3503703	ARIRANHA
35;3311;São Paulo;SP;3503802	ARTUR NOGUEIRA
35;3312;São Paulo;SP;3503901	ARUJÁ
35;3313;São Paulo;SP;3503950	ASPÁSIA
35;3314;São Paulo;SP;3504008	ASSIS
35;3315;São Paulo;SP;3504107	ATIBAIA
35;3316;São Paulo;SP;3504206	AURIFLAMA
35;3317;São Paulo;SP;3504305	AVAÍ
35;3318;São Paulo;SP;3504404	AVANHANDAVA
35;3319;São Paulo;SP;3504503	AVARÉ
35;3320;São Paulo;SP;3504602	BADY BASSITT
35;3321;São Paulo;SP;3504701	BALBINOS
35;3329;São Paulo;SP;3505401	BARRA DO TURVO
35;3330;São Paulo;SP;3505500	BARRETOS
35;3331;São Paulo;SP;3505609	BARRINHA
35;3332;São Paulo;SP;3505708	BARUERI
35;3333;São Paulo;SP;3505807	BASTOS
35;3334;São Paulo;SP;3505906	BATATAIS
35;3335;São Paulo;SP;3506003	BAURU
35;3336;São Paulo;SP;3506102	BEBEDOURO
35;3337;São Paulo;SP;3506201	BENTO DE ABREU
35;3338;São Paulo;SP;3506300	BERNARDINO DE CAMPOS
35;3339;São Paulo;SP;3506359	BERTIOGA
35;3340;São Paulo;SP;3506409	BILAC
35;3341;São Paulo;SP;3506508	BIRIGUI
35;3342;São Paulo;SP;3506607	BIRITIBA MIRIM
35;3343;São Paulo;SP;3506706	BOA ESPERANÇA DO SUL
35;3344;São Paulo;SP;3506805	BOCAINA
35;3345;São Paulo;SP;3506904	BOFETE
35;3346;São Paulo;SP;3507001	BOITUVA
35;3347;São Paulo;SP;3507100	BOM JESUS DOS PERDÕES
35;3348;São Paulo;SP;3507159	BOM SUCESSO DE ITARARÉ
35;3349;São Paulo;SP;3507209	BORÁ
35;3350;São Paulo;SP;3507308	BORACÉIA
35;3351;São Paulo;SP;3507407	BORBOREMA
35;3352;São Paulo;SP;3507456	BOREBI
35;3353;São Paulo;SP;3507506	BOTUCATU
35;3354;São Paulo;SP;3507605	BRAGANÇA PAULISTA
35;3355;São Paulo;SP;3507704	BRAÚNA
35;3356;São Paulo;SP;3507753	BREJO ALEGRE
35;3357;São Paulo;SP;3507803	BRODOWSKI
35;3358;São Paulo;SP;3507902	BROTAS
